quartos,banheiros,area_c,area_t,andares,bairamar,vista,condicao,grau,area_acima,area_porao,ano_const_ref,resultado
1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,0,1,0,1,0,1,1,0,1,1
0,1,0,0,1,0,1,0,1,0,0,1,2
0,0,0,0,1,0,1,1,0,0,0,0,2
1,1,1,1,1,0,1,0,1,1,1,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0
1,1,1,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,2
0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,2
1,1,1,0,1,0,1,1,1,1,1,1,0
0,1,1,1,1,0,1,1,1,1,1,0,0
1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,2
1,1,0,0,1,0,1,0,1,1,0,0,0
0,1,0,0,0,0,1,0,1,0,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,0,2
1,1,0,0,0,0,1,1,0,0,1,0,1
0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,2
1,1,1,1,0,0,1,0,1,1,1,1,2
1,1,1,0,1,0,1,1,1,1,1,0,2
1,1,0,1,1,0,1,0,0,1,0,0,1
0,1,1,0,1,0,1,0,1,1,1,1,0
0,1,0,1,0,0,1,1,0,0,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1
0,1,0,0,1,0,1,1,1,0,0,0,2
0,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,0,1,0,1,1,1,1,2
0,1,1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,0,1,1,1,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1,0,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1,1,0,1,0
1,1,1,0,1,0,1,0,1,1,1,0,0
1,1,1,1,0,0,1,0,1,1,1,1,0
0,0,0,0,1,0,1,1,1,0,0,0,0
1,1,1,0,1,0,1,1,1,1,1,0,0
1,1,0,0,1,0,1,0,0,0,1,1,1
1,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1,0,1,1,0
1,1,0,1,1,0,1,1,0,0,0,1,2
1,1,1,1,1,0,1,0,1,1,0,0,0
1,1,1,0,1,0,1,1,1,1,1,0,0
0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,1,0,1,0,1,0,0,1,0
1,1,0,1,1,0,1,1,0,0,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,1
1,1,1,0,1,0,1,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,0,0,0
1,1,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,1,0,0,1,0
0,1,0,0,0,0,1,1,0,0,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,2
1,1,1,0,1,0,1,0,1,1,1,1,1
0,1,0,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,0,0,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,1,0,0,0,2
1,1,1,1,1,0,1,0,1,1,0,1,2
1,1,0,0,0,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,0,0,2
1,1,0,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,0,2
0,1,0,0,0,0,1,1,0,0,1,0,0
0,1,1,0,1,0,1,0,1,0,1,0,0
0,1,0,0,1,0,1,1,0,0,1,0,1
1,1,1,0,1,0,1,1,0,1,1,0,1
0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1,0,0,1,0
1,1,1,1,1,0,1,1,1,1,1,0,0
0,0,0,1,0,0,1,1,0,0,1,0,0
0,1,1,1,0,0,1,0,1,1,0,1,0
0,1,0,1,0,0,1,0,0,0,1,1,1
0,1,0,0,0,0,1,0,0,0,1,1,1
0,0,0,1,0,0,1,0,0,0,1,1,0
1,1,1,0,1,0,1,1,0,0,1,0,1
1,1,0,0,1,0,1,0,1,1,0,0,0
0,1,1,0,1,0,1,1,1,1,0,0,2
0,1,1,0,1,0,1,1,1,1,1,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0
0,1,0,1,0,0,1,1,0,0,1,0,0
1,1,1,0,1,0,1,0,0,0,1,0,1
1,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,2
1,1,1,1,1,0,1,0,1,1,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,2
0,1,1,0,1,0,1,0,1,1,1,0,0
0,1,1,0,1,0,1,0,1,1,0,1,0
1,1,0,0,0,0,1,1,0,0,1,0,1
0,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,2
1,1,1,0,1,0,1,1,0,1,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,2
0,1,0,1,1,0,1,1,1,1,0,0,2
1,1,1,0,1,0,1,0,1,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,1,1
0,1,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,2
1,1,1,0,1,0,1,0,1,1,1,1,0
0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,2
0,1,0,0,1,0,1,1,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,1
0,1,0,0,1,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,0,0
0,1,1,1,0,0,1,0,1,1,1,1,0
1,1,1,1,1,0,1,0,1,1,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1
0,1,0,0,1,0,1,0,1,1,0,1,1
1,1,1,0,1,0,1,1,1,1,1,1,1
0,1,0,0,0,0,1,0,0,0,1,0,1
1,1,1,0,1,0,1,0,1,0,1,1,0
1,1,1,0,1,0,1,0,1,1,0,0,1
1,1,0,0,0,0,1,1,0,0,1,0,1
1,1,0,0,1,0,1,1,1,1,0,0,0
0,0,0,1,1,0,1,1,0,0,0,1,2
1,1,0,0,0,0,1,1,0,0,1,0,1
1,1,0,0,0,0,1,1,0,0,1,0,0
1,1,0,0,1,0,1,1,0,0,1,0,0
1,1,1,0,1,0,1,1,0,1,1,0,1
0,1,0,0,1,0,1,1,1,0,0,0,2
1,1,1,0,1,0,1,0,0,1,1,1,1
1,1,1,0,1,0,1,0,1,1,1,1,1
1,1,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,1,1,0,0,1,0,1
1,1,1,0,0,0,1,0,1,0,1,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0
1,1,1,1,1,0,1,0,1,1,0,1,2
0,0,0,0,1,0,1,1,0,0,0,0,0
0,1,1,1,0,0,1,1,1,0,1,1,1
1,1,0,0,0,0,1,0,0,0,1,1,1
0,1,0,0,1,0,1,0,1,0,0,1,0
1,1,0,1,0,0,1,0,1,0,1,0,2
0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1,1,0,1,0,0
0,1,0,0,1,0,1,1,0,0,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,1,1,0,1,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,0,1,1,0,1,0,0,0,0,0,1
1,1,1,0,1,0,1,1,1,1,1,0,2
0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,0
0,1,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,1,1,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,1,0,1
0,0,0,0,0,0,1,1,0,0,0,0,2
0,1,1,1,0,0,1,1,1,1,1,1,2
0,1,1,1,0,0,1,1,1,1,0,1,2
1,1,1,1,1,0,1,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,1,1,1
0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,1,1,0,1,0,0,1
0,1,1,1,0,0,1,0,1,1,0,1,2
1,1,1,0,1,0,1,1,1,1,1,0,1
0,1,1,0,1,0,1,1,0,0,1,0,1
1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,0,0,0
0,1,0,0,1,0,1,1,1,1,0,0,0
1,1,1,0,1,0,1,1,1,0,1,0,0
1,1,1,0,1,0,1,0,1,1,0,0,1
0,1,0,0,1,0,1,1,0,0,0,0,0
1,1,1,0,1,0,1,1,1,1,1,0,0
0,1,1,1,1,0,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0,1,1,0,1,0
0,1,0,0,1,0,1,0,1,0,0,1,1
0,1,1,0,1,0,1,0,1,1,0,1,0
0,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,2
0,1,0,0,0,0,1,1,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,1,0,0,1,0
0,1,1,1,1,0,1,1,1,1,0,0,2
0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,1,0,1,0,0,1,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,1,0,1,1,0,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,2
0,1,1,1,1,0,1,0,1,1,0,0,2
1,1,0,1,1,0,1,1,0,0,0,0,1
1,1,1,1,1,0,1,0,1,1,1,0,0
0,1,0,0,0,0,1,0,0,0,1,0,1
1,1,1,0,1,0,1,1,1,1,1,0,0
1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,1,0,1,0,1,0,1,1,1,1,1
1,1,1,0,1,0,1,1,0,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,0,0
1,1,1,0,1,0,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,0,0,1,0,1
0,1,0,0,1,0,1,0,1,0,0,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0